sentiment,message,tweetid
2,RT @RawStory: Researchers say we have three years to act on climate change before it’s too late https://t.co/WdT0KdUr2f https://t.co/Z0ANPT…,698562
2,"RT @tveitdal: We only have a 5 percent chance of avoiding ‘dangerous’ global warming, a study finds https://t.co/xUBTqNxhkK https://t.co/of…",454673
2,"Fossil fuel giant ExxonMobil ‘misled’ the public about climate change, Harvard academics conclude https://t.co/ofc2WSu4EX",658092
2,Bangladesh confronting climate change head on https://t.co/MTqeNBQDUt https://t.co/itgkUxgEfg,365291
2,RT @latimes: Atmospheric rivers fueled by climate change could decimate wild oysters in San Francisco Bay https://t.co/p0LZBhlU5K https://t…,143471
2,RT @Independent: Trump's team removed climate change data from the White House website. They may be breaking the law…,526603
2,2050 climate targets: nations are playing the long game in fighting global warming https://t.co/dnegw2vfJd via @ConversationEDU,8984
2,"RT @washingtonpost: The Alaskan tundra is filling the atmosphere with carbon dioxide, worsening climate change https://t.co/nSOimuwEax",905639
2,RT @TheTorontoSun: From @sunlorrie: Indian environmentalist calls out DiCaprio in his own documentary on climate change.Ã¢â‚¬Â¦,741568
2,"RT @Starbuck: World food supplies at risk as #climate change threatens international trade, warn experts https://t.co/rWCW2XF2lr https://t.…",499888
2,RT @FoxNews: Macron: My charm may have changed Trump's mind on climate change https://t.co/HxDJQwgBE5 https://t.co/9iDj2a5NzQ,310105
2,"These House Republicans say climate change is real and it’s time to fight it | By @ninaburleigh
https://t.co/VnayFuHglW",650843
2,RT @kylegriffin1: NYT reviewed a draft climate change rpt by fed scientists directly contradicting the admin's global warming claims. https…,709019
2,"RT @BBCBreaking: UK government signs Paris Agreement, world's first comprehensive treaty on tackling climate change https://t.co/hDaFst5PFcÃ¢â‚¬Â¦",827355
2,U.S. environmental agency chief says humans contribute to global warming - https://t.co/aSsz4eszXs,554354
2,"RT @thinkprogress: Where are Rex Tillerson’s climate change emails?
https://t.co/LyANHBPZfT",12265
2,80% of GHG via resevoirs are methane. Resevoirs play a substantial role in global warming. https://t.co/CNHiU818Ky https://t.co/58nmAFxcmP,540020
2,RT @GreenHarvard: “Universities have a uniquely important role to play in the battle against climate change” https://t.co/jRV2z1OMrx,55935
2,RT @PopSci: Ten of the ugliest animals threatened by climate change https://t.co/u67EVjeUnO https://t.co/ihOhxlqfTs,841527
2,Syfy's 'Incorporated' imagines future ravaged by climate change https://t.co/7nb1IkZT72 via @CNN https://t.co/b33c6BCSVY,946866
2,RT @NYTNational: White House budget proposal on climate change: 'We’re not spending money on that anymore.' https://t.co/3f7y0euDPl,677366
2,Air pollution deaths expected to rise due to climate change - https://t.co/Imoox1L1mg https://t.co/HDpNg5jFTp,952302
2,"Labour, budgeting and climate change (2) - The Punch https://t.co/Mby8DEK6cv  - #ClimateChange",257727
2,"RT @foxandfriends: New Catholic priests expected to preach global warming to congregations, report says | @foxnation… ",976934
2,"RT @SasjaBeslik: Meet ChinaÃ¢â‚¬â„¢s 'ecological migrants': 320,000 people displaced by climate change https://t.co/MsyqCisUG6Ã¢â‚¬Â¦",817908
2,China warns Trump against abandoning climate change deal https://t.co/Z8E2bvl80C via @FT,841838
2,Science to the rescue as climate change threatens chocolate via New Europe https://t.co/JEFdVN4lLT,741156
2,"RT @SafetyPinDaily: US federal department is censoring use of term 'climate change', emails reveal | By @olliemilman https://t.co/6usp4mUB…",927628
