sentiment,message,tweetid
1,"PolySciMajor EPA chief doesn't think carbon dioxide is main cause of global warming and.. wait, what!? https://t.co/yeLvcEFXkC via @mashable",625221
1,It's not like we lack evidence of anthropogenic global warming,126103
1,#TodayinMaker# WIRED : 2016 was a pivotal year in the war on climate change https://t.co/44wOTxTLcD,573736
1,"RT @SoyNovioDeTodas: It's 2016, and a racist, sexist, climate change denying bigot is leading in the polls. #ElectionNight",466954
1,Worth a read whether you do or don't believe in climate change https://t.co/ggLZVNYjun https://t.co/7AFE2mAH8j,425577
1,RT @thenation: Mike Pence doesn’t believe in global warming or that smoking causes lung cancer. https://t.co/gvWYaauU8R,294933
1,"RT @makeandmendlife: Six big things we can ALL do today to fight climate change, or how to be a climate activistÃ¢â‚¬Â¦ https://t.co/TYMLu6DbNM hÃ¢â‚¬Â¦",992717
1,"@AceofSpadesHQ My 8yo nephew is inconsolable. He wants to die of old age like me, but will perish in the fiery hellscape of climate change.",664510
1,RT @paigetweedy: no offense… but like… how do you just not believe… in global warming………,260471
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change https://t.co/SjoFoNÃ¢â‚¬Â¦,295793
1,"I do hope people who are vocal about climate change also powering their homes with renewable energy, like @GoodEnergy",763719
1,"RT @Alifaith55: Oh. My. God.

Trump's Government removes climate change page from EPA website hours ahead of #climatemarch

https://t.co/9z…",41161
1,RT @GlblCtzn: 'I don't wanna live forever – and nothing will because climate change' ����️�� @taylorswift13 @zaynmalik https://t.co/TuI64Zk9gV,319524
1,"RT @jackholmes0: Issues scrubbed from https://t.co/T1VZSO9N7G today: Civil rights, climate change, LGBT, healthcare… ",698009
1,"RT @patagonia: If our elected leaders fail to approach the environment &amp; climate change as serious issues worthy of urgency &amp; action, it wiÃ¢â‚¬Â¦",490604
1,RT @SenSanders: We have a president-elect who doesn't believe in climate change. Millions of people are going to have to say: Mr. TÃ¢â‚¬Â¦,228658
1,"RT @c40cities: 46 C40 Mayors, representing 250M citizens have urged G20 leaders to #SaveOurPlanet from climate change. You can too…",625014
1,RT @World_Wildlife: How climate change impacts wildlife: https://t.co/ozTap4cdlK #COP22 #EarthToMarrakech https://t.co/xm5XgpVhqY,690605
1,"https://t.co/KyNIBjmDk5
Scientists say climate change wiped out an entire underwater ecosystem. Again.
#climateÃ¢â‚¬Â¦ https://t.co/VZvJd3oXmI",567842
1,RT @TammyGrubb: Obama raises climate change. You better vote for candidates who believe in science. #ObamaUNC,684492
1,"I hate to say this, but *mental* health will be pretty low on the menu, when climate change hits food production an… https://t.co/KgFpw1hmPW",438578
1,Hey There! Michael's vetted and approved market-based strategies for tackling climate change are supported by a majority of Cdns! #cdnpoli,387685
1,RT @StarTalkRadio: First: The public understands climate change better than Congress. Why? #JohnHoldren @CoryBooker @neiltyson explain: htt…,354015
1,"RT @Honey17011: A guide to global warming, Paris pact and the US role #DemForce #TheResistance #UniteBlue https://t.co/RYiBLwAJZ4",432987
1,Denying climate change ignores basic science,11622
1,BGR ~ China practically says Trump lied about climate change https://t.co/Rz37HtcS8d,497877
1,RT @BernieSanders: #ImVotingBecause the future of the planet is at stake. Hillary Clinton will combat climate change. Donald Trump thinks iÃ¢â‚¬Â¦,817108
1,"RT @DeboraheHart: Toxic soils, aquifers, vast amts of wasted (+ waste) water, runaway climate change - what part of gas fracking don'…",362709
1,RT @BettyBowers: America: Where climate change is “unproven” to people 100% sure a guy called Noah fit all the world's animals on hi…,569142
1,RT @ForAmerica: They protested in support of climate change at the #WomansMarch and then did their part to help the environment... https://…,303380
1,RT @thedailybeast: Trump's climate change denial could cost us $100 trillion https://t.co/KlTTT4Sxrg https://t.co/Go1ycr48UP,765266
1,Will anyone who supports Trumps view of climate change (non polluter cronie) please step forward? #Resist #Impeach https://t.co/ofoB3UtAIl,344320
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change https://t.co/SjoFoNÃ¢â‚¬Â¦,785499
1,Trump doesn't believe in global warming and he's going to be the President of the United States of America.... fuck,201391
1,"RT @kelkulus: Irony: Florida, a state in danger of being washed away due to rising sea levels, just elected a guy who denies climate changeÃ¢â‚¬Â¦",771000
1,"RT @GreenpeaceEAsia: Pollution from India and China has reached the stratosphere, which could speed up global warming… ",526281
1,RT @UNEP: The @citiesclimfin lays out how cities and subnational bodies can finance solutions to climate changeÃ¢â‚¬Â¦,774850
1,But global warming is a hoax though. https://t.co/PZugB9WFWt,451296
1,My two cents on the global political leadership on climate change in a trump era https://t.co/I60IQxYtY9,592548
1,RT @MotherJones: Here are the races to watch if you care about global warming https://t.co/89HIKYSg3R https://t.co/syXKddd6xE,978125
1,"RT @kelkulus: Irony: Florida, a state in danger of being washed away due to rising sea levels, just elected a guy who denies climate changeÃ¢â‚¬Â¦",857540
1,"RT @ProfPCDoherty: Need economists to incorporate the reality of climate change in their thinking &amp; we all need to listen, https://t.co/lIv…",726430
1,"RT @USHRN: As we fight for human rights, we're also facing the disastrous impacts of climate change. https://t.co/Q9AG2ex1OQ…",179066
1,"RT @AHamiltonSpirit: There is no question climate change is man-made. If you have doubts, and haven't seen an inconvenient truth, please…",981123
1,"@alphageekst3r the process of climate change. It occurs naturally, but not at these extreme levels. We'll eventually have severe droughts,",583059
1,RT @ROSchneider86: Neoliberalism has conned us into fighting climate change as individuals | Martin Lukacs https://t.co/g6MhOjZxa1,809226
1,RT @davidsirota: MUST READ: Rick Perry ordered Texas legislature to kill bill requiring state agencies to prepare for climate change https:…,931994
1,RT @SenSanders: We have a president-elect who doesnÃ¢â‚¬â„¢t believe in climate change. ThatÃ¢â‚¬â„¢s frightening for this country and the world.,225985
1,So hot due to global warming,732924
1,RT @verge: Google Earth’s Timelapse update illustrates 30 years of climate change https://t.co/kTDUWZASfc https://t.co/NZz8tyT7i4,176885
1,RT @SethMacFarlane: HRC proposes installing half a billion solar panels by the end of her first term. Trump thinks climate change is a hoaxÃ¢â‚¬Â¦,378020
1,"#BeforetheFlood 
EVERYONE must watch this!! people must understand global warming is very real @LeoDiCaprio 
https://t.co/vTqnt1f6Ni",332871
1,"If this doesn't shake you up about climate change, then nothing ever will. https://t.co/YHpJE56lYP",560522
1,RT @Earthjustice: NOAA Report: 2016 was 2nd hottest year in history. One more reason to fight climate change deniers in Trump Admin &gt;…,490544
1,conservatives just love denying science huh? from climate change to believing that fertilization of an egg = an automatic human life.,58158
1,Come check out our events about climate change! #SRHPL https://t.co/8YviyN22Lo,577185
1,"To think 200 million could have gone towards alleviating poverty, reducing climate change or improving healthcare, call me mad but...",902602
1,"RT @RonaldKlain: As Trump decides on Paris, @BrianCDeese &amp; I team up in @washingtonpost to warn about climate change and epidemics: https:…",458845
1,RT @savingoceans: Lack of #climate change action can potentially hurt future #fishermen jobs. https://t.co/5MD2qw4VtC,695439
1,“Yet another Trump advisor is clueless on climate change” by @climateprogress https://t.co/ApAmIIBdJJ,894382
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change https://t.co/SjoFoNÃ¢â‚¬Â¦,603318
1,So we have a director of EPA who is a climate change denier. No a coal lobbies to as deputy EPA Chief. Environment… https://t.co/XlxHbWNJuM,880647
1,RT @IrisRimon: The Chinese just broke massive iceberg in Antarctica as part of their global warming hoax.,957257
1,"RT @NDeNicolaMD: 500,000 doctors agree: climate change is making us sick #EarthDay #MarchForScience #HealthAndClimate…",483815
1,RT @tristinc1: our president think climate change is a hoax made by the chinese &amp; our vice president thinks being gay is a curable disease.Ã¢â‚¬Â¦,902089
1,"RT @SethMacFarlane: Are we looking at an America that officially believes climate change is a hoax? Sorry, everybody else.",513782
1,@realDonaldTrump @POTUS You fucking idiot! I'm a geologist &amp; studied climate change in college &amp; co-authored two papers on it - IT'S REAL!!!,406598
1,RT @SenSanders: We have a president-elect who doesn't believe in climate change. Millions of people are going to have to say: Mr. TÃ¢â‚¬Â¦,664093
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",638318
1,"RT @peta: Meat production is a leading cause of climate change, water waste, deforestation, &amp; extinction. #WorldVeganDayÃ¢â‚¬Â¦",136694
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change https://t.co/SjoFoNÃ¢â‚¬Â¦,97375
1,RT @SethMacFarlane: HRC proposes installing half a billion solar panels by the end of her first term. Trump thinks climate change is a hoaxÃ¢â‚¬Â¦,383885
1,RT @lexi4prez: he is literally a climate change denier....RIP our planet https://t.co/B67IQ8N9Fs,958567
1,@realDonaldTrump  what about climate change? It's very real but you only care about $$$$,904812
1,"RT @Kloppholic: Imagine trying to convince yourself that global warming isn't real and instead a conspiracy. Wake up, before it's tÃ¢â‚¬Â¦",137383
1,"@DocRock1007 So he IS saying climate change is a hoax, and every major scientific organization is a in on it?",108346
1,Follow @projectARCC if you want to hear more about what A/V and digital archivists can do about climate change activism #AVhack16,513604
1,"If you don't believe in climate change, then look at the polar bears that are going extinct, because they have no land to live on.",975250
1,We don't have to hear anti-vaccers/climate change deniers/ACA killers out. Stop using your stupidity to try and kil… https://t.co/CRdJKMQdXX,331060
1,See the impacts of global warming https://t.co/nsDE3ZVMH4,813584
1,One way to avert climate change. The world should apply the method. https://t.co/tj8n6ZMWqo,863832
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change https://t.co/SjoFoNÃ¢â‚¬Â¦,188844
1,"RT @SamJamesVelde: It's 90 degrees in early November in Los Angeles, but you know ....according to Trump global warming and climate changeÃ¢â‚¬Â¦",739085
1,Come &amp; hear more about climate change and Antarctica #art4climate #Larsenc #climatechangeart… https://t.co/1JoGxQk1nN,897750
1,"The youths being almost 60% of Kenya's pop' are best line of defense against climate change &amp; food security
@ROBERTMBURIA @RichardMunang",688791
1,RT @GeographerJay: Trump wants to end NASA climate change research as real estate markets start to slump due to climate change https://t.co…,740611
1,"RT @JeffDSachs: CNN panelists erupt over climate change - CNN Video Time to call out lies of Trump, Koch Brothers, and Heritage. https://t.…",656841
1,"I'm worried for our planet, Trump will do nothing for climate change",845896
1,Effect of methane on climate change could be 25% greater than we thought https://t.co/x68JxUiodt via @physorg_com,396110
1,RT @AstroKatie: Governments of several world powers are failing us on climate change. We need to act without them if we want any hope for tÃ¢â‚¬Â¦,719654
1,"RT @KamalaHarris: I stand with @JerryBrownGov in saying that California will not back down on climate change. 
https://t.co/xP8Y6eSmyx",774
1,@SteveEngland300 Have u considered doing a piece about it in your column Steve? Inform ppl re impact of climate change on species &amp; habitats,217803
1,"RT @benwikler: Don't worry, it's just the natural process of anthropogenic climate change rendering the earth uninhabitable",4176
1,"@alanresnicks the 5 horsemen of the apocalypse; Famine, war, death, pestilence, and global warming.",192092
1,RT @HawaiiDelilah: So Trump went to Ivanka and a reporter for insights on climate change. Not scientists. Two women with no expertis…,552813
1,RT @wqs: Pakistan is the 5th most vulnerable country in terms of climate change. Whats our most experienced Prime Minister has to say about…,832857
1,RT @1957AJB: We knock ourselves out over Brexit and Trump but I think climate change will bury both of those issues-But I really hope I'm w…,15147
1,"U.S. to world on climate change: DROP DEAD. Nobel scientist: Such ignorance is 'shocking,' https://t.co/rB4bfxP63j",159458
1,"RT @LastWeekTonight: If you donÃ¢â‚¬â„¢t believe man-made global warming is a a silly issue, give to the Natural Resources Defense Council (https:Ã¢â‚¬Â¦",976207
1,@Deanofcomedy Followed closely by climate change deniers and Wall Street executives.,685097
1,#SDG13 is a call to take urgent action to combat #climate change and its impacts. Join the movement:Ã¢â‚¬Â¦ https://t.co/BqxZ5ZkBjv,582112
1,"RT @bradleym4: @JuddLegum Me (to my 14 yo kid): do you believe in climate change?
Kid: It's a scientific fact, so it doesn't matte…",657147
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change https://t.co/SjoFoNÃ¢â‚¬Â¦,990837
1,"When China calls out Donald Trump on climate change, you know itÃ¢â‚¬â„¢s bad https://t.co/ukXyPvuvJf",829666
1,RT @billmckibben: 'ExxonMobil has a long history of peddling misinformation on climate change.' @elizkolbert in @NewYorker #ExxonKnew https…,326190
1,"RT @MrDenmore: Apart from taking us to the brink of recession, doubling the deficit and making us a pariah on refugees &amp; climate change, th…",752888
1,RT @NatGeoChannel: One of the easiest ways to help combat climate change in your daily life is to stop eating beef. Here's why:Ã¢â‚¬Â¦,324799
1,Effects of climate change https://t.co/6eYTZtqLoW,993534
1,"RT @marcuschown: With a denier in the White House, how do we deal with the global warming catastrophe that threatens 7.5 billion of us withÃ¢â‚¬Â¦",536684
1,How do people argue climate change??,831615
1,RT @GlblCtzn: When you hear Trump's new EPA director says carbon doesn't cause climate change. https://t.co/ThkNOUK8D1 https://t.co/mX8vpQu…,259331
1,RT @turnscoat: why can't we agree that climate change is our number one priority,805923
1,"RT @MobilizeClimate: We must stop treating the effects of climate change as some far off doomsday. They are here, they are now.

https://t.…",720815
1,RT @JacobWhitesides: I think that's global warming not christmas https://t.co/VVAzjVXH6w,859724
1,"RT @Che_Jackson: Not that climate change is real or anything, but it's 75 in Columbus, OH right now... in November. @realDonaldTrump",700738
1,Rex Tillerson refuses to admit #ExxonKnew about climate change decades ago. https://t.co/rxQ6xgfquX via @HuffPostPol,776664
1,RT @wakmax: Just talk about climate change says @alicebell - it'll make you feel better about it. Go on then - have a read https://t.co/N1V…,26384
1,RT @duycks: join us tomorrow for #HRC35 event on #childrenrights in context of climate change. key message: protect and empower…,428934
1,RT @UNEP: How to boost funding for developing countries to adapt to the effects of climate change is a key issue at #COP22:Ã¢â‚¬Â¦,711708
1,"RT @PaulHBeckwith: Listen, folks to a STORY,
about the evil twin,
of climate change.

The oceans on ACID.

https://t.co/SJJGkCRLyk… ",366725
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change https://t.co/SjoFoNÃ¢â‚¬Â¦,80936
1,RT @AdrianGeoLopez: People still don't believe in global warming ��‍♂️ what can we do especially with the president pulling out of the P…,960037
1,Please RT #health #fitness Is it too late to reverse global warming&amp;quot; This is what scientists have to...… https://t.co/9MaaMVWdlR,665469
1,RT @scholaurship: AND this motherfucker doesn't believe in climate change i-,620755
1,@ArizonaPatriot1 @joelpollak @Gabyendingstory at least Obama isn't a Christian-extremist who thinks global warming &amp; evolution are hoaxes.,45045
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change https://t.co/SjoFoNÃ¢â‚¬Â¦,385351
1,"RT @NatGeoPhotos: 'Although climate change can be a scary topic, ice can be insanely, unimaginably beautiful.'https://t.co/dhHXzzdTv6 httpsÃ¢â‚¬Â¦",120733
